Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
java,org.springframework.asm,CurrentFrame,0,0,2,0,18,2,0,1,-1.0,1,4,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/CurrentFrame.java,31
java,org.springframework.asm,RecordComponentVisitor,2,0,7,5,84,12,1,0,0.0,3,4,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/RecordComponentVisitor.java,30
java,org.springframework.asm,MethodWriter,59,0,50,31,0,299,0,1,0.06,3,17,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/MethodWriter.java,30
java,org.springframework.asm,Label,28,1,12,3,334,36,0,0,0.4166666666666667,21,6,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Label.java,30
java,org.springframework.asm,Type,27,21,36,31,0,154,0,0,0.08333333333333333,57,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Type.java,33
java,org.springframework.asm,SymbolTable,14,0,60,0,0,137,0,0,0.03333333333333333,9,9,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/SymbolTable.java,30
java,org.springframework.asm,SymbolTable.Entry,2,0,0,0,34,0,0,1,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/SymbolTable.java,1271
java,org.springframework.asm,MethodVisitor,3,0,35,33,433,77,5,0,0.0,13,7,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/MethodVisitor.java,30
java,org.springframework.asm,Handler,6,0,6,0,129,13,0,0,0.0,1,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Handler.java,30
java,org.springframework.asm,Frame,59,0,23,0,0,312,1,0,0.0,5,8,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Frame.java,30
java,org.springframework.asm,AnnotationWriter,7,0,14,5,339,59,0,1,0.0,4,8,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/AnnotationWriter.java,30
java,org.springframework.asm,FieldWriter,11,0,8,4,166,25,0,1,0.25,1,8,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/FieldWriter.java,30
java,org.springframework.asm,Context,19,0,0,0,82,0,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Context.java,31
java,org.springframework.asm,ConstantDynamic,4,0,11,10,102,13,0,0,0.0,2,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/ConstantDynamic.java,32
java,org.springframework.asm,RecordComponentWriter,9,0,8,4,128,19,0,1,0.25,1,7,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/RecordComponentWriter.java,30
java,org.springframework.asm,ByteVector,2,0,16,9,303,40,0,0,0.0,13,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/ByteVector.java,30
java,org.springframework.asm,TypePath,6,4,7,5,0,22,0,0,0.0,14,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/TypePath.java,31
java,org.springframework.asm,ClassWriter,35,2,36,32,730,101,0,1,0.08333333333333333,4,19,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/ClassWriter.java,30
java,org.springframework.asm,FieldVisitor,2,0,7,5,86,13,2,0,0.0,7,4,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/FieldVisitor.java,30
java,org.springframework.asm,ClassVisitor,2,0,18,16,234,41,8,0,0.0,23,8,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/ClassVisitor.java,30
java,org.springframework.asm,ModuleWriter,17,0,12,8,183,21,0,1,0.16666666666666666,1,4,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/ModuleWriter.java,30
java,org.springframework.asm,Symbol,28,0,2,0,149,3,1,0,0.0,7,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Symbol.java,30
java,org.springframework.asm,ModuleVisitor,2,0,10,8,112,19,1,0,0.0,3,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/ModuleVisitor.java,30
java,org.springframework.asm,Opcodes,242,0,0,0,274,0,1,0,-1.0,32,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Opcodes.java,30
java,org.springframework.asm,ClassReader,15,6,50,23,0,873,0,0,0.06,14,19,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/ClassReader.java,34
java,org.springframework.asm,Attribute,6,1,13,2,234,22,0,0,0.46153846153846156,13,6,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Attribute.java,30
java,org.springframework.asm,Attribute.Set,3,0,0,0,38,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Attribute.java,350
java,org.springframework.asm,AnnotationVisitor,2,0,8,6,93,14,4,0,0.0,18,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/AnnotationVisitor.java,30
java,org.springframework.asm,TypeReference,23,22,19,18,0,39,0,0,0.2631578947368421,2,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/TypeReference.java,31
java,org.springframework.asm,Handle,5,0,10,10,107,12,0,0,0.0,7,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Handle.java,31
java,org.springframework.asm,Edge,5,0,1,0,38,1,0,0,0.0,2,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Edge.java,30
java,org.springframework.asm,ClassTooLargeException,3,0,3,3,33,3,0,0,0.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/ClassTooLargeException.java,30
java,org.springframework.asm,MethodTooLargeException,5,0,5,5,53,5,0,0,0.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/MethodTooLargeException.java,30
java,org.springframework.asm,SpringAsmInfo,1,1,0,0,12,0,0,0,-1.0,7,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/SpringAsmInfo.java,19
java,org.springframework.asm,Constants,99,0,1,0,111,1,0,0,0.0,10,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/asm/Constants.java,30
java,org.springframework.core,MethodParameter,13,0,57,46,708,102,1,0,0.0,9,5,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/MethodParameter.java,43
java,org.springframework.core,MethodParameter.KotlinDelegate,0,0,0,0,74,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/MethodParameter.java,862
java,org.springframework.core,AliasRegistry,0,0,4,0,32,4,1,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/AliasRegistry.java,19
java,org.springframework.core,ReactiveAdapter,3,0,8,8,73,9,1,0,0.0,2,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapter.java,26
java,org.springframework.core,KotlinDetector,3,0,4,4,56,6,0,0,0.75,4,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/KotlinDetector.java,25
java,org.springframework.core,ParameterizedTypeReference,1,0,8,5,58,10,0,0,0.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ParameterizedTypeReference.java,26
java,org.springframework.core,ConfigurableObjectInputStream,2,0,6,2,93,11,0,0,0.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ConfigurableObjectInputStream.java,28
java,org.springframework.core,NamedThreadLocal,1,0,2,2,21,2,0,0,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/NamedThreadLocal.java,21
java,org.springframework.core,Conventions,1,0,11,7,210,35,0,0,0.45454545454545453,0,6,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/Conventions.java,28
java,org.springframework.core,ResolvableTypeProvider,0,0,1,0,11,1,0,0,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableTypeProvider.java,21
java,org.springframework.core,DefaultParameterNameDiscoverer,0,0,1,1,20,3,0,2,-1.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/DefaultParameterNameDiscoverer.java,19
java,org.springframework.core,AttributeAccessor,0,0,6,0,56,7,1,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/AttributeAccessor.java,24
java,org.springframework.core,NativeDetector,1,0,1,1,14,1,0,0,0.0,4,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/NativeDetector.java,19
java,org.springframework.core,DecoratingClassLoader,2,0,5,4,58,8,1,0,0.6,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/DecoratingClassLoader.java,26
java,org.springframework.core,CollectionFactory,2,0,14,12,244,33,0,0,0.7142857142857143,5,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/CollectionFactory.java,45
java,org.springframework.core,BridgeMethodResolver,1,0,10,2,150,30,0,0,0.3,4,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/BridgeMethodResolver.java,32
java,org.springframework.core,SmartClassLoader,0,0,3,0,40,3,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SmartClassLoader.java,23
java,org.springframework.core,CoroutinesUtils,0,0,6,4,68,11,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/CoroutinesUtils.java,44
java,org.springframework.core,SpringVersion,0,0,2,1,17,2,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SpringVersion.java,21
java,org.springframework.core,NestedRuntimeException,1,0,5,5,77,12,4,0,0.8,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/NestedRuntimeException.java,21
java,org.springframework.core,OrderComparator,1,1,10,6,143,23,1,0,0.3,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/OrderComparator.java,26
java,org.springframework.core,OrderComparator.OrderSourceProvider,0,0,0,0,12,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/OrderComparator.java,209
java,org.springframework.core,ReactiveAdapterRegistry,7,0,6,6,169,19,0,0,0.3333333333333333,1,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,40
java,org.springframework.core,ReactiveAdapterRegistry.ReactorAdapter,0,0,0,0,12,0,0,1,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,196
java,org.springframework.core,ReactiveAdapterRegistry.ReactorRegistrar,1,0,0,0,10,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,219
java,org.springframework.core,ReactiveAdapterRegistry.EmptyCompletableFuture,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,254
java,org.springframework.core,ReactiveAdapterRegistry.RxJava3Registrar,0,0,0,0,9,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,262
java,org.springframework.core,ReactiveAdapterRegistry.CoroutinesRegistrar,0,0,0,0,6,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,302
java,org.springframework.core,ReactiveAdapterRegistry.MutinyRegistrar,0,0,0,0,6,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,320
java,org.springframework.core,ReactiveAdapterRegistry.SpringCoreBlockHoundIntegration,0,0,0,0,12,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,340
java,org.springframework.core,LocalVariableTableParameterNameDiscoverer,15,0,4,2,160,9,0,1,0.0,0,6,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/LocalVariableTableParameterNameDiscoverer.java,41
java,org.springframework.core,LocalVariableTableParameterNameDiscoverer.ParameterNameDiscoveringVisitor,3,0,0,0,25,0,0,1,-1.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/LocalVariableTableParameterNameDiscoverer.java,153
java,org.springframework.core,LocalVariableTableParameterNameDiscoverer.LocalVariableTableVisitor,9,0,0,0,67,0,0,1,-1.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/LocalVariableTableParameterNameDiscoverer.java,191
java,org.springframework.core,SpringProperties,2,0,5,4,80,7,0,0,0.4,3,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SpringProperties.java,26
java,org.springframework.core,SortedProperties,4,0,9,7,77,13,0,0,0.3333333333333333,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SortedProperties.java,35
java,org.springframework.core,SerializableTypeWrapper,17,0,5,3,232,11,0,0,0.6,1,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SerializableTypeWrapper.java,38
java,org.springframework.core,SerializableTypeWrapper.SerializableTypeProxy,0,0,0,0,9,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SerializableTypeWrapper.java,137
java,org.springframework.core,SerializableTypeWrapper.TypeProvider,0,0,0,0,15,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SerializableTypeWrapper.java,149
java,org.springframework.core,SerializableTypeWrapper.TypeProxyInvocationHandler,1,0,0,0,39,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SerializableTypeWrapper.java,172
java,org.springframework.core,SerializableTypeWrapper.FieldTypeProvider,3,0,0,0,28,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SerializableTypeWrapper.java,224
java,org.springframework.core,SerializableTypeWrapper.MethodParameterTypeProvider,5,0,0,0,37,0,0,0,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SerializableTypeWrapper.java,264
java,org.springframework.core,SerializableTypeWrapper.MethodInvokeTypeProvider,6,0,0,0,40,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SerializableTypeWrapper.java,318
java,org.springframework.core,DecoratingProxy,0,0,1,0,12,1,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/DecoratingProxy.java,19
java,org.springframework.core,SimpleAliasRegistry,2,0,10,7,158,27,0,1,0.0,0,4,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/SimpleAliasRegistry.java,33
java,org.springframework.core,InfrastructureProxy,0,0,1,0,12,1,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/InfrastructureProxy.java,19
java,org.springframework.core,GenericTypeResolver,2,0,12,8,218,40,0,0,0.6666666666666666,0,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/GenericTypeResolver.java,32
java,org.springframework.core,GenericTypeResolver.TypeVariableMapVariableResolver,1,0,0,0,13,0,0,0,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/GenericTypeResolver.java,284
java,org.springframework.core,ParameterNameDiscoverer,0,0,2,0,20,2,4,0,-1.0,2,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ParameterNameDiscoverer.java,24
java,org.springframework.core,PriorityOrdered,0,0,0,0,10,0,0,1,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/PriorityOrdered.java,19
java,org.springframework.core,OverridingClassLoader,3,1,9,3,117,17,0,1,0.2222222222222222,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/OverridingClassLoader.java,25
java,org.springframework.core,MethodIntrospector,0,0,4,3,89,10,0,0,-1.0,0,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/MethodIntrospector.java,30
java,org.springframework.core,MethodIntrospector.MetadataLookup,0,0,0,0,12,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/MethodIntrospector.java,142
java,org.springframework.core,NestedCheckedException,1,0,5,5,76,12,0,0,0.8,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/NestedCheckedException.java,21
java,org.springframework.core,MethodClassKey,2,0,5,5,43,9,0,0,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/MethodClassKey.java,24
java,org.springframework.core,ResolvableType,20,1,74,56,1250,183,0,0,0.05405405405405406,33,8,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableType.java,45
java,org.springframework.core,ResolvableType.VariableResolver,0,0,0,0,15,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableType.java,1449
java,org.springframework.core,ResolvableType.DefaultVariableResolver,1,0,0,0,12,0,0,0,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableType.java,1469
java,org.springframework.core,ResolvableType.TypeVariablesVariableResolver,2,0,0,0,21,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableType.java,1491
java,org.springframework.core,ResolvableType.SyntheticParameterizedType,2,0,0,0,43,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableType.java,1523
java,org.springframework.core,ResolvableType.WildcardBounds,2,0,0,0,73,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableType.java,1587
java,org.springframework.core,ResolvableType.Kind,0,0,0,0,4,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableType.java,1666
java,org.springframework.core,ResolvableType.EmptyType,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ResolvableType.java,1673
java,org.springframework.core,NestedExceptionUtils,0,0,3,3,55,7,0,0,-1.0,2,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/NestedExceptionUtils.java,21
java,org.springframework.core,KotlinReflectionParameterNameDiscoverer,0,0,3,2,46,7,0,1,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/KotlinReflectionParameterNameDiscoverer.java,29
java,org.springframework.core,ExceptionDepthComparator,1,0,5,4,54,8,0,0,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ExceptionDepthComparator.java,26
java,org.springframework.core,AttributeAccessorSupport,1,0,9,8,61,11,0,1,0.0,0,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/AttributeAccessorSupport.java,28
java,org.springframework.core,NamedInheritableThreadLocal,1,0,2,2,21,2,0,0,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/NamedInheritableThreadLocal.java,21
java,org.springframework.core,Ordered,2,0,1,0,29,1,1,0,-1.0,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/Ordered.java,19
java,org.springframework.core,PrioritizedParameterNameDiscoverer,1,0,3,3,33,7,1,1,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/PrioritizedParameterNameDiscoverer.java,26
java,org.springframework.core,StandardReflectionParameterNameDiscoverer,0,0,3,2,28,5,0,1,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/StandardReflectionParameterNameDiscoverer.java,25
java,org.springframework.core,Constants,2,0,17,16,261,33,0,0,0.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/Constants.java,30
java,org.springframework.core,Constants.ConstantException,0,0,0,0,23,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/Constants.java,338
java,org.springframework.core,ReactiveTypeDescriptor,5,0,15,13,113,17,0,0,0.26666666666666666,2,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveTypeDescriptor.java,24
java,org.springframework.core.metrics.jfr,FlightRecorderStartupStep,7,0,9,8,88,10,0,1,0.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/metrics/jfr/FlightRecorderStartupStep.java,26
java,org.springframework.core.metrics.jfr,FlightRecorderStartupStep.FlightRecorderTags,2,0,0,0,27,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/metrics/jfr/FlightRecorderStartupStep.java,102
java,org.springframework.core.metrics.jfr,FlightRecorderStartupStep.TagsIterator,1,0,0,0,12,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/metrics/jfr/FlightRecorderStartupStep.java,123
java,org.springframework.core.metrics.jfr,FlightRecorderStartupStep.FlightRecorderTag,2,0,0,0,14,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/metrics/jfr/FlightRecorderStartupStep.java,145
java,org.springframework.core.metrics.jfr,FlightRecorderStartupEvent,4,3,2,2,19,2,0,0,1.0,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/metrics/jfr/FlightRecorderStartupEvent.java,24
java,org.springframework.core.metrics.jfr,FlightRecorderApplicationStartup,2,0,2,2,18,2,0,1,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/metrics/jfr/FlightRecorderApplicationStartup.java,26
java,org.springframework.core.metrics,ApplicationStartup,1,0,1,0,16,1,2,0,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/metrics/ApplicationStartup.java,19
java,org.springframework.core.metrics,DefaultApplicationStartup,2,0,1,1,38,1,0,1,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/spring-framework/spring-core/src/main/java/org/springframework/core/metrics/DefaultApplicationStartup.java,23
